# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,7]; float sup on a 1e-4 grid (not a proof): 1.177048205
# certified in ARB: C_+(4.5) <= 1.1771   (certificates/cplus_dual_cert.py)
A = 4.5
T = 7
cell 1 524299/524288 -7/2
cell 524299/524288 1048679/1048576 -7/2
cell 1048679/1048576 524413/524288 -7/2
cell 524413/524288 131131/131072 -7/2
cell 131131/131072 1049347/1048576 -7/2
cell 1049347/1048576 1049727/1048576 -7/2
cell 1049727/1048576 1050191/1048576 -7/2
cell 1050191/1048576 1050743/1048576 -7/2
cell 1050743/1048576 131423/131072 -7/2
cell 131423/131072 1052117/1048576 -7/2
cell 1052117/1048576 1052943/1048576 -7/2
cell 1052943/1048576 131733/131072 -7/2
cell 131733/131072 527441/524288 -7/2
cell 527441/524288 1055999/1048576 -7/2
cell 1055999/1048576 1057215/1048576 -7/2
cell 1057215/1048576 1058533/1048576 -7/2
cell 1058533/1048576 529977/524288 -7/2
cell 529977/524288 1061479/1048576 -7/2
cell 1061479/1048576 1063109/1048576 -7/2
cell 1063109/1048576 1064845/1048576 -7/2
cell 1064845/1048576 16667/16384 -7/2
cell 16667/16384 33395/32768 -7/2
cell 33395/32768 1070701/1048576 -7/2
cell 1070701/1048576 1072873/1048576 -7/2
cell 1072873/1048576 268789/262144 -7/2
cell 268789/262144 1077551/1048576 -7/2
cell 1077551/1048576 270015/262144 -7/2
cell 270015/262144 541341/524288 -7/2
cell 541341/524288 1085419/1048576 -7/2
cell 1085419/1048576 68017/65536 -7/2
cell 68017/65536 545621/524288 -7/2
cell 545621/524288 136791/131072 -7/2
cell 136791/131072 1097533/1048576 -7/2
cell 1097533/1048576 137607/131072 -7/2
cell 137607/131072 1104299/1048576 -7/2
cell 1104299/1048576 553931/524288 -7/2
cell 553931/524288 1111545/1048576 -7/2
cell 1111545/1048576 557675/524288 -7/2
cell 557675/524288 1119277/1048576 -7/2
cell 1119277/1048576 1123327/1048576 -7/2
cell 1123327/1048576 281875/262144 -7/2
cell 281875/262144 1131797/1048576 -7/2
cell 1131797/1048576 1136219/1048576 -7/2
cell 1136219/1048576 1140765/1048576 -7/2
cell 1140765/1048576 572719/524288 -7/2
cell 572719/524288 287559/262144 -7/2
cell 287559/262144 577581/524288 -7/2
cell 577581/524288 1160215/1048576 -7/2
cell 1160215/1048576 291349/262144 -7/2
cell 291349/262144 1170705/1048576 -7/2
cell 1170705/1048576 1176143/1048576 -7/2
cell 1176143/1048576 1181711/1048576 -7/2
cell 1181711/1048576 1187409/1048576 -7/2
cell 1187409/1048576 1193237/1048576 -7/2
cell 1193237/1048576 299799/262144 -7/2
cell 299799/262144 602643/524288 -7/2
cell 602643/524288 1211509/1048576 -7/2
cell 1211509/1048576 152233/131072 -7/2
