# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,13]; float sup on a 1e-4 grid (not a proof): 1.106964777
# certified in ARB: C_+(22.5) <= 1.10699   (certificates/cplus_dual_cert.py)
A = 22.5
T = 13
cell 1 1048621/1048576 -43/2
cell 1048621/1048576 1048781/1048576 -43/2
cell 1048781/1048576 1049077/1048576 -43/2
cell 1049077/1048576 1049519/1048576 -43/2
cell 1049519/1048576 1050117/1048576 -43/2
cell 1050117/1048576 525439/524288 -43/2
cell 525439/524288 1051807/1048576 -43/2
cell 1051807/1048576 526455/524288 -43/2
cell 526455/524288 65887/65536 -43/2
cell 65887/65536 1055657/1048576 -43/2
cell 1055657/1048576 1057309/1048576 -43/2
cell 1057309/1048576 66197/65536 -43/2
cell 66197/65536 265297/262144 -43/2
cell 265297/262144 531711/524288 -43/2
cell 531711/524288 1065855/1048576 -43/2
cell 1065855/1048576 1068491/1048576 -43/2
cell 1068491/1048576 267833/262144 -43/2
cell 267833/262144 537191/524288 -43/2
cell 537191/524288 1077641/1048576 -43/2
cell 1077641/1048576 1081113/1048576 -17736113/1048576
cell 1081113/1048576 8475/8192 1
cell 8475/8192 17011/16384 1
cell 17011/16384 546413/524288 1
cell 546413/524288 548585/524288 1
cell 548585/524288 137717/131072 1
cell 137717/131072 553263/524288 1
cell 553263/524288 1111543/1048576 1
cell 1111543/1048576 279197/262144 1
cell 279197/262144 1122263/1048576 1
cell 1122263/1048576 1127969/1048576 1
cell 1127969/1048576 283477/262144 -187471/1048576
cell 283477/262144 1140081/1048576 -40589/4096
cell 1140081/1048576 573245/524288 1
cell 573245/524288 1153137/1048576 1
cell 1153137/1048576 580011/524288 1
cell 580011/524288 1167147/1048576 1
cell 1167147/1048576 587257/524288 1
cell 587257/524288 295531/262144 1
cell 295531/262144 594989/524288 49095/65536
cell 594989/524288 599039/524288 -5828471/1048576
cell 599039/524288 150803/131072 1
cell 150803/131072 607509/524288 1
cell 607509/524288 1223861/1048576 1
cell 1223861/1048576 1232955/1048576 1
cell 1232955/1048576 1242299/1048576 41055/131072
cell 1242299/1048576 1251897/1048576 1
cell 1251897/1048576 315437/262144 1
cell 315437/262144 635927/524288 1
cell 635927/524288 1282215/1048576 1
cell 1282215/1048576 646417/524288 1
cell 646417/524288 651855/524288 1
cell 651855/524288 657423/524288 1
cell 657423/524288 1326241/1048576 1
cell 1326241/1048576 1337897/1048576 -67359/32768
cell 1337897/1048576 168727/131072 -142495/524288
cell 168727/131072 1361997/1048576 1
cell 1361997/1048576 687221/524288 1
cell 687221/524288 86697/65536 -79/32
cell 86697/65536 1400127/1048576 942119/1048576
cell 1400127/1048576 706685/524288 1
cell 706685/524288 1426879/1048576 1
cell 1426879/1048576 1440657/1048576 -1069605/524288
cell 1440657/1048576 1454705/1048576 1032535/1048576
cell 1454705/1048576 734511/524288 1
cell 734511/524288 1483611/1048576 1
cell 1483611/1048576 1498471/1048576 179653/262144
cell 1498471/1048576 378401/262144 1
cell 378401/262144 764505/524288 -1116423/1048576
